,Metabolic,Structural,Transport,Signaling,Immune,DNA/RNA,Membrane,Unknown
TUM_second_pool_35_01_01_ETD-1h-R1-tryptic,0,4,0,0,0,0,0,0
TUM_second_pool_50_01_01_ETD-1h-R1-tryptic,0,2,0,0,0,0,0,1
TUM_second_pool_107_02_01_ETD-1h-R1-tryptic,0,0,0,0,0,0,0,1
TUM_second_pool_135_01_01_2xIT_2xHCD-1h-R1-unspecific,0,4,0,0,0,0,0,0
TUM_second_pool_15_01_01_2xIT_2xHCD-1h-R1-tryptic,0,0,0,0,0,0,0,0
Thermo_SRM_Pool_84_01_01_DDA-1h-R2-tryptic,0,5,0,0,0,0,0,0
Thermo_SRM_Pool_42_01_01_DDA-1h-R2-tryptic,0,3,0,0,0,0,0,0
Thermo_SRM_Pool_60_01_01_2xIT_2xHCD-1h-R2-tryptic,0,8,0,0,0,0,0,0
TUM_first_pool_114_01_01_DDA-1h-R1-tryptic,0,5,0,0,0,0,0,1
TUM_first_pool_42_01_01_3xHCD-1h-R1-tryptic,0,1,0,0,0,0,0,1
TUM_first_pool_6_01_01_DDA-1h-R2-tryptic,0,5,0,0,0,0,0,1
TUM_first_pool_125_01_01_DDA-1h-R1-unspecific,0,7,0,0,0,0,0,0
TUM_first_pool_61_01_01_2xIT_2xHCD-1h-R2-tryptic,0,0,0,0,0,0,0,0
TUM_first_pool_61_01_01_3xHCD-1h-R2-tryptic,0,0,0,0,0,0,0,1
